,Location,Latitude,Longitude,Country,ESTNUM
100,Arniko,27.71202,85.31295,Nepal,60
101,Thanh Hoa,20.129128,105.313118,Vietnam,3
102,Thanh Hoa,20.129128,105.313118,Vietnam,4
103,Charles de Gaulle Airport,49.009691,2.547925,France,3
104,Kavre,27.525942,85.56121,Nepal,1
105,Thai Binh,20.538694,106.393478,Vietnam,96
106,Pemba,-12.973203,40.517801,Mozambique,
107,Dien Chau,19.017969,105.570887,Vietnam,1
108,Dak Lak,12.710012,108.237752,Vietnam,1
109,Penang,5.416394,100.332679,Malaysia,135
110,Chandel,24.182749,94.151376,India,301
111,Ky anh,18.055958,106.299291,Vietnam,15
112,Marang Tembat,5.285485,102.590058,Malaysia,
113,Kathmandu,27.717245,85.323959,Nepal,1
114,Kelantan,6.125397,102.238071,Malaysia,40
115,Pranburi,12.395836,99.857142,Thailand,173
116,Yunnan,24.475285,101.343106,China,11
117,Tanjung Priok,-6.132055,106.871485,Indonesia,65
118,Moreh,24.251281,94.301304,India,253
119,"Butterworth, State of Penang",5.438031,100.388192,Malaysia,35
120,Kolkata Airport,22.647372,88.440648,India,80
121,Moreh,24.251281,94.301304,India,11
122,Khudengthabi,24.303754,94.254486,India,26
123,Khudengthabi,24.303754,94.254486,India,12
124,Chandel,24.182749,94.151376,India,
125,Phnom Penh,11.556374,104.92821,Cambodia,7
126,Hangzhou,30.274084,120.15507,China,
127,Harare,-17.825167,31.03351,Zimbabwe,1
128,Quang Ninh,21.006382,107.292514,Vietnam,83
129,Soekarno-Hatta Airport,-6.127528,106.653706,Indonesia,380
130,Mong Cai,21.525944,107.972367,Vietnam,410
131,Kathmandu,27.717245,85.323959,Nepal,1
132,Belawan,3.784303,98.694221,Indonesia,
133,Thai Binh,20.538694,106.393478,Vietnam,12
134,Sindhupalchowk,27.951203,85.684578,Nepal,10
135,Khudengthabi,24.303754,94.254486,India,65
136,Bac Ninh,21.178177,106.071026,Vietnam,100
137,Brussels,50.85034,4.35171,Belgium,100
138,Imphal,24.817011,93.936844,India,64
139,Pranburi,12.395836,99.857142,Thailand,97
140,Belawan,3.784303,98.694221,Indonesia,111
141,Khudengthabi,24.303754,94.254486,India,21
142,Pranburi,12.395836,99.857142,Thailand,115
143,Silchar,24.833271,92.778905,India,144
144,Hai Duong,20.938596,106.320686,Vietnam,75
145,Bulawayo,-20.132507,28.626478,Zimbabwe,1
146,Perak,4.592113,101.090109,Malaysia,12
147,Imphal,24.817011,93.936844,India,14
148,Tung Dien,21.582633,106.516662,Vietnam,73
149,Nong Khai,17.87828,102.741264,Thailand,1
150,Narathiwat,6.425461,101.825314,Thailand,50
151,Cap Treo,10.351041,107.066585,Vietnam,11
153,Ha Tinh,18.294378,105.674525,Vietnam,106
154,Hanoi,21.003118,105.820141,Vietnam,56
155,Tao Xuyen,19.84418,105.79996,Vietnam,88
156,Nong Khai,17.87828,102.741264,Thailand,74
157,Khanh Hoa,12.25851,109.052608,Vietnam,8
158,Ha Tinh,18.294378,105.674525,Vietnam,70
