Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009-2015,SPLIT 2005-2006,SPLIT 2010-2011,SPLIT 2011-2012,SPLIT 2012-2014,SPLIT 2015-2016,SPLIT 2018-2019
Angola,,,,,,,,,,,,,,,,,,,895.0,,,,,,,,
Belgium,,,,,,,,,,,,100.0,11.0,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,70.0,,513.0,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,
Cambodia,,,,,,,,,8.0,5.0,,7.0,,,,,1.0,11.0,2.0,,,,,,,,
Cameroon,,,,,,,,,,,,,,80.0,270.0,114.0,998.0,6758.0,2190.0,2995.0,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
China,,5.0,3.0,,,,53.0,11.0,242.0,41.0,2090.0,11.0,3171.0,489.0,2324.0,9375.0,5864.0,13754.0,7860.3,213.84,21.0,416.0,,,10.0,2.0,
Hong Kong,2145.0,2700.0,,,1944.0,2000.0,,,,,,,208.0,,3340.0,2129.0,13895.0,7513.0,12487.0,8400.0,,,,,,,440.0
Taiwan,,,,,,400.0,,,,,,,,,1.0,9.0,1.0,,4000.0,,,,,,,,
Côte d’Ivoire,,,,,,,,,,,,,,12.0,,2.0,,3000.0,728.0,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,230.0,,,,,,,,
France,,,,,,,,,,,,3.0,,101.0,250.0,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
India,,,,,,,,,,823.0,919.0,991.0,550.0,191.0,137.4,87.0,343.0,3.0,70.0,148.0,,,,,,56.0,1.0
Indonesia,,,,,,,,,2760.0,426.0,,556.0,157.0,404.0,503.0,1267.0,1514.0,637.0,12.0,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Kenya,,,,,,,,,,,,,1.0,,,,1100.5,96.0,,,,,,,,,
Laos,,,,,,,,,,,,,,,,81.0,,,6.0,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Malaysia,,702.0,,207.0,432.0,,,289.0,167.0,432.0,296.0,222.0,374.0,240.0,509.0,310.0,201.0,17966.0,376.0,6025.0,,,,1068.0,,,
Myanmar,,,,,,,,,,,13.0,,,,,,,,,,,,408.0,,,,
Namibia,,,,,,,,,,,,,,,,,7.0,1.0,50.0,5.0,,,,,,,
Nepal,,,,,,,,,,,74.0,73.0,105.0,215.0,31.0,19.5,14.0,977.0,175.0,2.38,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,381.0,,19823.0,671.0,,,,,,,
Pakistan,,,,,,,,,,,,,,,145.0,,,,200.0,,,,,,,,
Philippines,,,,,,,,,,,,,107.0,2023.0,,,4.0,83.0,22.0,10.0,,,,,,,
Republic of the Congo,,,,,,,,,,,,,,,,,,,1798.5,,,,,,,,
Singapore,,,,,,,,,,,,,,,,646.0,,,,68900.0,,,,,,,
South Africa,,,,,,,,,,,1.0,,,,,1.0,6.0,12.0,13.0,7.0,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Sri Lanka,,,,,,,,,,,,,2.0,1.0,,,,141.0,1.0,,,,,,,,
United Republic of Tanzania,,,,,,,,,,,,,,,,,,6000.0,,,,,,,,,
Thailand,,,1112.0,797.0,,150.0,654.0,232.0,315.0,414.0,211.0,510.0,610.0,573.0,521.0,1018.0,3485.0,2760.0,242.0,138.0,,,,,,,
Togo,,,,,,,,,,,,,,,200.0,,,,37.0,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,1210.0,,,,,,,
Uganda,,,,,,,,,,,,,119.0,,,9445.0,126.0,15.0,50.0,476.38,,,,,,,
Various,,,,,,,,,,,,,1220.0,50.0,,,,2750.0,,1649.0,,,,,,,
Vietnam,,,,616.0,43.0,,,,5100.0,2054.0,238.0,1212.0,748.0,6092.0,2226.0,6810.0,678.0,1674.0,19979.0,19321.0,,,,,,,
Zambia,,,,,,,,,,,,,,,1.0,1.0,11.0,,1.2,3.0,,,,,,,
Zimbabwe,,,,,,,,,,,,2.0,1.0,,3.0,31.0,29.0,9.0,7.0,4.0,,,,,,,
